Model,Threshold,AUC-ROC,AUC 95% CI,Accuracy,Sensitivity,Specificity,Precision,F1,MCC
XGBoost,0.1,0.867,0.834-0.899,0.82,0.65,0.83,0.3,0.41,0.35
XGBoost,0.2,0.867,0.834-0.899,0.85,0.55,0.88,0.34,0.42,0.35
XGBoost,0.3,0.867,0.834-0.899,0.86,0.42,0.91,0.33,0.37,0.3
XGBoost,0.4,0.867,0.834-0.899,0.88,0.36,0.94,0.39,0.38,0.31
XGBoost,0.5,0.867,0.834-0.899,0.89,0.3,0.95,0.4,0.34,0.29
XGBoost,0.6,0.867,0.834-0.899,0.89,0.25,0.96,0.4,0.3,0.25
XGBoost,0.7,0.867,0.834-0.899,0.9,0.2,0.97,0.44,0.28,0.25
XGBoost,0.8,0.867,0.834-0.899,0.9,0.13,0.98,0.45,0.2,0.2
XGBoost,0.9,0.867,0.834-0.899,0.9,0.09,0.99,0.46,0.15,0.17
RandomForest,0.1,0.869,0.836-0.899,0.67,0.94,0.64,0.22,0.36,0.35
RandomForest,0.2,0.869,0.836-0.899,0.77,0.84,0.76,0.28,0.42,0.39
RandomForest,0.3,0.869,0.836-0.899,0.83,0.72,0.84,0.33,0.45,0.4
RandomForest,0.4,0.869,0.836-0.899,0.86,0.51,0.9,0.35,0.42,0.35
RandomForest,0.5,0.869,0.836-0.899,0.87,0.41,0.92,0.36,0.38,0.31
RandomForest,0.6,0.869,0.836-0.899,0.89,0.19,0.96,0.36,0.25,0.2
RandomForest,0.7,0.869,0.836-0.899,0.9,0.07,0.99,0.36,0.12,0.12
RandomForest,0.8,0.869,0.836-0.899,0.9,0.03,0.99,0.33,0.05,0.07
RandomForest,0.9,0.869,0.836-0.899,0.9,0.0,1.0,0.0,0.0,0.0
CatBoost,0.1,0.853,0.813-0.891,0.8,0.78,0.8,0.3,0.43,0.39
CatBoost,0.2,0.853,0.813-0.891,0.83,0.62,0.85,0.32,0.42,0.36
CatBoost,0.3,0.853,0.813-0.891,0.86,0.51,0.9,0.35,0.41,0.34
CatBoost,0.4,0.853,0.813-0.891,0.88,0.42,0.93,0.38,0.4,0.33
CatBoost,0.5,0.853,0.813-0.891,0.88,0.35,0.94,0.4,0.37,0.31
CatBoost,0.6,0.853,0.813-0.891,0.89,0.17,0.97,0.35,0.23,0.19
CatBoost,0.7,0.853,0.813-0.891,0.89,0.13,0.98,0.38,0.19,0.17
CatBoost,0.8,0.853,0.813-0.891,0.9,0.1,0.98,0.41,0.16,0.17
CatBoost,0.9,0.853,0.813-0.891,0.9,0.04,0.99,0.43,0.08,0.11
LightGBM,0.1,0.857,0.822-0.891,0.84,0.55,0.87,0.31,0.4,0.33
LightGBM,0.2,0.857,0.822-0.891,0.85,0.45,0.9,0.33,0.38,0.3
LightGBM,0.3,0.857,0.822-0.891,0.87,0.38,0.93,0.36,0.37,0.29
LightGBM,0.4,0.857,0.822-0.891,0.88,0.29,0.94,0.36,0.32,0.26
LightGBM,0.5,0.857,0.822-0.891,0.88,0.28,0.95,0.37,0.32,0.26
LightGBM,0.6,0.857,0.822-0.891,0.89,0.25,0.96,0.42,0.31,0.27
LightGBM,0.7,0.857,0.822-0.891,0.9,0.22,0.97,0.45,0.29,0.27
LightGBM,0.8,0.857,0.822-0.891,0.9,0.16,0.98,0.44,0.23,0.22
LightGBM,0.9,0.857,0.822-0.891,0.9,0.13,0.98,0.47,0.2,0.21
Logistic Regression,0.1,0.869,0.838-0.897,0.57,1.0,0.53,0.19,0.32,0.31
Logistic Regression,0.2,0.869,0.838-0.897,0.68,0.99,0.65,0.24,0.38,0.39
Logistic Regression,0.3,0.869,0.838-0.897,0.73,0.91,0.71,0.26,0.4,0.39
Logistic Regression,0.4,0.869,0.838-0.897,0.75,0.87,0.74,0.27,0.41,0.39
Logistic Regression,0.5,0.869,0.838-0.897,0.77,0.86,0.76,0.28,0.43,0.4
Logistic Regression,0.6,0.869,0.838-0.897,0.8,0.77,0.8,0.3,0.43,0.39
Logistic Regression,0.7,0.869,0.838-0.897,0.83,0.57,0.86,0.3,0.39,0.32
Logistic Regression,0.8,0.869,0.838-0.897,0.86,0.38,0.91,0.31,0.34,0.26
Logistic Regression,0.9,0.869,0.838-0.897,0.89,0.14,0.97,0.37,0.21,0.18
